Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,484,Mexico,MEX,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,50,,,,50,,218,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,16400,,,,16400,,16721,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,804,Ukraine,UKR,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,148500,,,,148500,,719503,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,860,Uzbekistan,UZB,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,4000,,,,4000,,15538,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,1040,,,,1040,,784,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080241,"Nuts, edible; chestnuts (Castanea spp.), fresh or dried, in shell",8,Weight in kilograms,23819,,,,23819,,17727,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080241,"Nuts, edible; chestnuts (Castanea spp.), fresh or dried, in shell",8,Weight in kilograms,23819,,,,23819,,17727,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,2654697,,,,2654697,,2299701,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,20000,,,,20000,,4000,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,2158498,,,,2158498,,2036990,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,2700,,,,2700,,2439,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,784,United Arab Emirates,ARE,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,226,,,,226,,1750,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,416458,,,,416458,,179048,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,56814,,,,56814,,75471,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080252,"Nuts, edible; pistachios, fresh or dried, shelled",8,Weight in kilograms,109423,,,,109423,,84289,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080252,"Nuts, edible; pistachios, fresh or dried, shelled",8,Weight in kilograms,67423,,,,67423,,59637,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,080252,"Nuts, edible; pistachios, fresh or dried, shelled",8,Weight in kilograms,42000,,,,42000,,24652,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,1429,,,,1429,,15783,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,36,Australia,AUS,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,476,,,,476,,3541,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,404,Kenya,KEN,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,340,,,,340,,1479,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,704,Viet Nam,VNM,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,113,,,,113,,567,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,710,South Africa,ZAF,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,498,,,,498,,10195,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,32242,,,,32242,,99951,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,17,,,,17,,1102,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,484,Mexico,MEX,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,225,,,,225,,1727,,,0
